appearance_order,citation_key,citation_as_used,doi,verification_status,audit_note
1,Schnakenberg1979,"J. Schnakenberg, ""Simple chemical reaction systems with limit cycle behaviour,"" Journal of Theoretical Biology, vol. 81, no. 3, pp. 389--400, 1979. doi:10.1016/0022-5193(79)90042-0.",10.1016/0022-5193(79)90042-0,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
2,Turing1952,"A. M. Turing, ""The Chemical Basis of Morphogenesis,"" Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences, vol. 237, no. 641, pp. 37--72, 1952. doi:10.1098/rstb.1952.0012.",10.1098/rstb.1952.0012,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
3,Kondo2010,"S. Kondo and T. Miura, ""Reaction-Diffusion Model as a Framework for Understanding Biological Pattern Formation,"" Science, vol. 329, no. 5999, pp. 1616--1620, 2010. doi:10.1126/science.1179047.",10.1126/science.1179047,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
4,Alfifi2022,"H. Y. Alfifi, ""Stability analysis for Schnakenberg reaction-diffusion model with gene expression time delay,"" Chaos, Solitons & Fractals, vol. 155, 111730, 2022. doi:10.1016/j.chaos.2021.111730.",10.1016/j.chaos.2021.111730,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
5,Jiang2019,"W. Jiang, H. Wang, and X. Cao, ""Turing Instability and Turing--Hopf Bifurcation in Diffusive Schnakenberg Systems with Gene Expression Time Delay,"" Journal of Dynamics and Differential Equations, vol. 31, no. 4, pp. 2223--2247, 2019. doi:10.1007/s10884-018-9702-y.",10.1007/s10884-018-9702-y,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
6,Sargood2022,"A. Sargood, E. A. Gaffney, and A. L. Krause, ""Fixed and Distributed Gene Expression Time Delays in Reaction--Diffusion Systems,"" Bulletin of Mathematical Biology, vol. 84, no. 9, 98, 2022. doi:10.1007/s11538-022-01052-0.",10.1007/s11538-022-01052-0,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
7,Das2026,"N. Das, I. Balázs, B. Das, and G. Rőst, ""Delayed Pattern Formation in Two-Dimensional Domains,"" Bulletin of Mathematical Biology, vol. 88, 112, 2026. doi:10.1007/s11538-026-01669-5.",10.1007/s11538-026-01669-5,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
8,Raue2009,"A. Raue, C. Kreutz, T. Maiwald, et al., ""Structural and practical identifiability analysis of partially observed dynamical models by exploiting the profile likelihood,"" Bioinformatics, vol. 25, no. 15, pp. 1923--1929, 2009. doi:10.1093/bioinformatics/btp358.",10.1093/bioinformatics/btp358,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
9,Villaverde2016,"A. F. Villaverde, A. Barreiro, and A. Papachristodoulou, ""Structural Identifiability of Dynamic Systems Biology Models,"" PLoS Computational Biology, vol. 12, no. 10, e1005153, 2016. doi:10.1371/journal.pcbi.1005153.",10.1371/journal.pcbi.1005153,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
10,Wieland2021,"F. G. Wieland, A. L. Hauber, M. Rosenblatt, C. Tönsing, and J. Timmer, ""On structural and practical identifiability,"" Current Opinion in Systems Biology, vol. 25, pp. 60--69, 2021. doi:10.1016/j.coisb.2021.03.005.",10.1016/j.coisb.2021.03.005,Verified,Bibliographic and DOI identity checked against authoritative publisher/PubMed/DOI-indexed record during the reference audit
